PRODUTO,,,,,
,,,,,
,,,,,
Talk Back,,,,,
Requisito ,Descrição,Contagem de Erros,Atende o Requisito,Observações,Num. Telas
R05,"A aplicação notifica os usuários antes de alterar a orientação da tela, caso seja apropriado modificá-la?",,Não,,
R06,A aplicação usa linguagem adequada ao contexto do usuário?,51,,"Geralmente icones, componets de produtos, botão de favoriitar, botão de adicionar",1
R09,A aplicação fornecem as informações textuais ou numéricas contextualizadas para o conversor de texto para voz?,25,,"Avaliação de produto é dada sem contexto, produtos em lista horizontal ",1
R10,Os componentes não-textuais são nomeados de forma que sejam compreendidos independente do contexto?,34,,Há erros de rotulos na maioria e icone de selecionar promoção não informado,1
R11,O rótulo dos componentes com itens sequenciais e/ou paginados informam o intervalo que está sendo mostrado e o número total de itens?,16,,Itens recomendados abaixo do produto selecionado não são lidos como sequencia,1
R12,Todas as imagens e figuras da interface da aplicação possuem uma audiodescrição?,17,,Todos os produtos não possuem descrição,1
R21,A barra de ferramentas permanece fixa em telas de rolagem?,,Sim,,1
R24,A localização dos componentes seguem padrões amplamente utilizados?,,Sim,,
R25,Os componentes de formulários seguem o mesmo padrão?,,Não,,
R28,O teclado utilizado pela aplicação é compatível com o contexto do campo?,,Sim,,1
R29,O teclado utilizado pela aplicação contem teclas que permitem a navegação entre os componentes da interface?,,Não,,
R31,O leitor de telas informa ao usuário todos os eventos visíveis?,1,,Não infroma sobre o evendo de selecionar preço quando há promoção,1
R32,"O leitor de telas informa o conteúdo de um componente assim que tocado, interrompendo qualquer leitura em andamento?",,Sim,,
R33,A aplicação fornece feedback sonoro sobre todas as ações executadas pelo usuário?,66,,"Adicionar aos favoritos, adicionar ao carrinho, diminuir ou aumentas a quantidade de itens",1
R34,A aplicação fornece feedback visual sobre todas as ações executadas pelo usuário?,,Sim,,1
R35,"As telas da aplicação, exceto popups (pequenas janelas que se abrem por cima da tela sendo visualizada), disponibilizam link para a tela principal do aplicativo?",,Não,,
R36,"As telas da aplicação disponibilizam o botão ""Voltar"" para a tela anteriormente acessada pelo usuário?",,Sim,,1
R38,A aplicação oferece uma navegação sequencial entre as telas?,,Sim,,1
R39,A aplicação suporta a navegação baseada em foco?,,Sim,,1
R40,A aplicação informa possíveis erros de interação ao usuário?,,Não,,
R41,A aplicação guia o usuário no primeiro uso?,,Não,,
R44,A aplicação fornece instruções de preenchimento dos campos de entrada de dados?,,Sim,,1
R45,A aplicação sugere a ativação de configurações de acessibilidade dos dispositivos móveis ao usuário em seu primeiro acesso?,,Não,,
R46,A aplicação permite que o usuário configure suas formas de notificação?,,Não,,
R47,Componentes de interação em telas com grandes textos são fixos e visíveis?,,Não,,
,,,,,
,,,,,
Scanner,,,,,
Requisito ,Descrição,Contagem de Erros,Observações,Num. Telas,
R02,Componentes da interface são entendidos sem a utilização de cores?,,,,
R03,Os componentes utilizam cores com alto contraste em relação ao plano de fundo?,5,,1,
R07,Todos os componentes da interface possuem rótulos?,13,,1,
R08,"Os rótulos descrevem a funcionalidade ou significado e o estado dos componentes da interface de forma clara, sucinta e completa?",15,,1,
R13,A área de toque dos componentes da interface possuem tamanho e espaçamento que facilitem a interação do usuário?,27,,1,
R17,Componentes de interação possuem o espaçamento mínimo em relação à borda da tela?,,,,
,Resultato TalkBack,270,,,
,Resultato accessibility scanner,60,,,
