RESULTADOS,,,,,
Pesquisa: ,Simeticona ,,,,
,,,,,
Talk Back,,,,,
Requisito ,Descrição,Contagem de Erros,Atende o Requisito,Observações,Num. Telas
R05,"A aplicação notifica os usuários antes de alterar a orientação da tela, caso seja apropriado modificá-la?",,Não,,
R06,A aplicação usa linguagem adequada ao contexto do usuário?,152,,"icone de lupa, cesta, detalhes do produto, favoritos e adicionar ao carrinho usam liguagem inadequada ""bnt cesta home, btn detalhes produto""",1
R09,A aplicação fornecem as informações textuais ou numéricas contextualizadas para o conversor de texto para voz?,51,,,
R10,Os componentes não-textuais são nomeados de forma que sejam compreendidos independente do contexto?,,,,
R11,O rótulo dos componentes com itens sequenciais e/ou paginados informam o intervalo que está sendo mostrado e o número total de itens?,50,,Não é infromado intervalo do produto lido,1
R12,Todas as imagens e figuras da interface da aplicação possuem uma audiodescrição?,53,,"Os icones de voltar, lupa e cesta não possuem descrição ou não são infromados corretamente. Além de os produtos não terem sua descrição informada",1
R21,A barra de ferramentas permanece fixa em telas de rolagem?,,Sim,,
R24,A localização dos componentes seguem padrões amplamente utilizados?,,Sim,,
R25,Os componentes de formulários seguem o mesmo padrão?,,Não,,
R28,O teclado utilizado pela aplicação é compatível com o contexto do campo?,,Sim,,
R29,O teclado utilizado pela aplicação contem teclas que permitem a navegação entre os componentes da interface?,,Sim,,
R31,O leitor de telas informa ao usuário todos os eventos visíveis?,1,,O botão Voltar não é lido pelo talkback,1
R32,"O leitor de telas informa o conteúdo de um componente assim que tocado, interrompendo qualquer leitura em andamento?",,Sim,,
R33,A aplicação fornece feedback sonoro sobre todas as ações executadas pelo usuário?,251,,"Adicionar ao carrinho, ir para o produto, favoritar, aumentar ou diminuir quantidade de itens, filtrar",1
R34,A aplicação fornece feedback visual sobre todas as ações executadas pelo usuário?,,Sim,,
R35,"As telas da aplicação, exceto popups (pequenas janelas que se abrem por cima da tela sendo visualizada), disponibilizam link para a tela principal do aplicativo?",,Não,,
R36,"As telas da aplicação disponibilizam o botão ""Voltar"" para a tela anteriormente acessada pelo usuário?",,Sim,Apesar de não ser informado pelo talkback,1
R38,A aplicação oferece uma navegação sequencial entre as telas?,,Sim,,
R39,A aplicação suporta a navegação baseada em foco?,,Sim,,
R40,A aplicação informa possíveis erros de interação ao usuário?,,Não,,
R41,A aplicação guia o usuário no primeiro uso?,,Não,,
R44,A aplicação fornece instruções de preenchimento dos campos de entrada de dados?,,Sim,,
R45,A aplicação sugere a ativação de configurações de acessibilidade dos dispositivos móveis ao usuário em seu primeiro acesso?,,Não,,
R46,A aplicação permite que o usuário configure suas formas de notificação?,,Não,,
R47,Componentes de interação em telas com grandes textos são fixos e visíveis?,,Não,,
,,,,,
,,,,,
Scanner,,,,,
Requisito ,Descrição,Contagem de Erros,Observações,Num. Telas,
R02,Componentes da interface são entendidos sem a utilização de cores?,,,,
R03,Os componentes utilizam cores com alto contraste em relação ao plano de fundo?,11,Itens em promoção que possém fundo e letras em tons de vermelho,1,
R07,Todos os componentes da interface possuem rótulos?,1,,1,
R08,"Os rótulos descrevem a funcionalidade ou significado e o estado dos componentes da interface de forma clara, sucinta e completa?",1,,1,
R13,A área de toque dos componentes da interface possuem tamanho e espaçamento que facilitem a interação do usuário?,,,,
R17,Componentes de interação possuem o espaçamento mínimo em relação à borda da tela?,,,,
,Resultato TalkBack,571,,,
,Resultato accessibility scanner,13,,,
